[ 2025-02-10 16:36:18,513 ] 19 root - INFO - Initiate the data ingestion
[ 2025-02-10 16:36:23,030 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-10 16:36:23,030 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-10 16:36:23,030 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-10 16:36:23,062 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-10 16:36:23,062 ] 21 root - INFO - Data Initiation Completed
[ 2025-02-10 16:36:23,067 ] 25 root - INFO - Initiate the data Validation
[ 2025-02-10 16:36:23,078 ] 32 root - INFO - Required number of columns:2
[ 2025-02-10 16:36:23,078 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-10 16:36:23,078 ] 32 root - INFO - Required number of columns:2
[ 2025-02-10 16:36:23,078 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-10 16:36:23,195 ] 27 root - INFO - data Validation Completed
[ 2025-02-10 16:36:23,196 ] 30 root - INFO - data Transformation started
[ 2025-02-10 16:36:23,196 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-10 16:36:23,196 ] 65 root - INFO - Starting data transformation
[ 2025-02-10 16:36:23,207 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-10 16:36:23,207 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-10 16:36:23,211 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-10 16:36:23,213 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-10 16:36:23,213 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-10 16:36:23,217 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-10 16:36:23,217 ] 34 root - INFO - data Transformation completed
[ 2025-02-10 16:36:23,217 ] 35 root - INFO - Model Training sstared
[ 2025-02-10 16:38:14,210 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-10 16:38:14,211 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-10 16:38:14,211 ] 149 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/02_10_2025_16_36_17/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9913836796756209, precision_score=0.9890776699029126, recall_score=0.9937004673846779), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.973189275710284, precision_score=0.9627870150435471, recall_score=0.9838187702265372))
[ 2025-02-10 16:38:14,212 ] 40 root - INFO - Model Training artifact created
