[ 2025-02-10 16:49:40,458 ] 19 root - INFO - Initiate the data ingestion
[ 2025-02-10 16:49:44,290 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-10 16:49:44,291 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-10 16:49:44,291 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-10 16:49:44,322 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-10 16:49:44,322 ] 21 root - INFO - Data Initiation Completed
[ 2025-02-10 16:49:44,326 ] 25 root - INFO - Initiate the data Validation
[ 2025-02-10 16:49:44,337 ] 32 root - INFO - Required number of columns:2
[ 2025-02-10 16:49:44,337 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-10 16:49:44,337 ] 32 root - INFO - Required number of columns:2
[ 2025-02-10 16:49:44,337 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-10 16:49:44,433 ] 27 root - INFO - data Validation Completed
[ 2025-02-10 16:49:44,433 ] 30 root - INFO - data Transformation started
[ 2025-02-10 16:49:44,433 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-10 16:49:44,433 ] 65 root - INFO - Starting data transformation
[ 2025-02-10 16:49:44,443 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-10 16:49:44,443 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-10 16:49:44,448 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-10 16:49:44,449 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-10 16:49:44,449 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-10 16:49:44,452 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-10 16:49:44,452 ] 34 root - INFO - data Transformation completed
[ 2025-02-10 16:49:44,452 ] 35 root - INFO - Model Training sstared
[ 2025-02-10 16:51:41,986 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-10 16:51:41,987 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-10 16:51:41,987 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-10 16:51:41,999 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-10 16:51:41,999 ] 149 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/02_10_2025_16_49_39/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9905918057663126, precision_score=0.9874949576442114, recall_score=0.9937081388268724), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9825699229833808, precision_score=0.9797898140662894, recall_score=0.9853658536585366))
[ 2025-02-10 16:51:42,002 ] 40 root - INFO - Model Training artifact created
